letter_1,letter_2,distance
E,G,1.6598186595635707
R,T,1.6644488209153794
F,Q,1.670288068840235
G,M,1.673859455129027
I,J,1.6806274117989863
D,J,1.6823930153586373
F,L,1.6845510337663132
Q,V,1.685887533450437
C,M,1.6881712586715902
D,S,1.68828414457788
O,V,1.6888367002775537
D,Q,1.692356363375836
D,O,1.6925310851788287
C,V,1.7098242630801825
M,T,1.712658615181794
E,J,1.7134035883753111
C,D,1.7135165736365725
G,T,1.721166368950891
B,G,1.723483690175809
J,Q,1.725500908322543
J,Y,1.7296729801224116
A,T,1.7317344835493087
F,X,1.7354632886489878
J,L,1.7535682358371634
G,Q,1.7592381016040053
C,P,1.767419905879165
F,O,1.7714013363295982
D,F,1.7721302817833835
L,O,1.7766946883087806
N,T,1.7793550956426145
F,H,1.7857484374578088
G,V,1.7901437766125845
C,J,1.7919923030284646
J,W,1.796607148428641
G,N,1.7981366039345776
J,V,1.8175969064625952
T,Y,1.822315785929591
O,Q,1.8253396154846295
O,W,1.831777413785889
Q,T,1.8349740102385408
G,O,1.8459070580647001
G,S,1.8488616587068434
C,N,1.8552880806726277
I,T,1.8680526320240096
J,T,1.9157492645712688
E,T,1.966914321625276
B,T,1.9813097010597425
C,Q,1.9905524088218698
F,T,2.0004970757182763
F,G,2.120768830969861
S,T,2.137981417322333
F,J,2.212496806892378
C,T,2.399963486392715
O,T,2.464211786240588
